Date,Account Creations,Active Users,Active Users Acct Creation On Or After Regwall,Active Users Acct Creation On Regwall,Active Users Purchase On Or After Paywall,Active Users Purchase On Or After Regwall,Basic Subscriber Active Users,Basic Subscriber DAU Per MAU,Basic Subscriber Minutes,Basic Subscriber Page Views,Basic Subscriber Total Users,DAU Per MAU,Digital Subscriber Active Users,Digital Subscriber DAU Per MAU,Digital Subscriber Minutes,Digital Subscriber Page Views,Digital Subscriber Total Users,Event Click Active Users,Event Clicks,Event Registration Click Active Users,Event Registration Clicks,Minutes,New Subscription Finishes,New Subscription Starts,Newsletter Signup Active Users,Newsletter Signups,Newsletter Unsubscribes,Non Registrant Active Users,Non Registrant DAU Per MAU,Non Registrant Minutes,Non Registrant Page Views,Non Registrant Total Users,Page Views,Paywall Active Users,Paywall Conversion Rate,Paywall Views,Print Subscriber Active Users,Print Subscriber DAU Per MAU,Print Subscriber Minutes,Print Subscriber Page Views,Print Subscriber Total Users,Purchase Active Users,Purchases,Registrant Active Users,Registrant DAU Per MAU,Registrant Minutes,Registrant Page Views,Registrant Total Users,Regwall Account Creations,Regwall Active Users,Regwall Conversion Rate,Regwall Purchases,Regwall Views,Site License Active Users,Site License By Domain Active Users,Site License By Domain DAU Per MAU,Site License By Domain Minutes,Site License By Domain Page Views,Site License By Domain Total Users,Site License By IP Active Users,Site License By IP DAU Per MAU,Site License By IP Minutes,Site License By IP Page Views,Site License By IP Total Users,Site License DAU Per MAU,Site License Minutes,Site License Page Views,Site License Total Users,Subscriber Active Users,Subscriber DAU Per MAU,Subscriber Minutes,Subscriber Page Views,Subscriber Total Users,Subscription Renewal Finishes,Subscription Renewal Starts,Total Users
2026-04-25,250,23459,179,178,8,5,38,0.052269601,8531,79,39,0.028524702,373,0.057016203,82305,940,399,3,3,0,0,24425,15,1778,14,25,1,19419,0.029096668,297248,23805,19736,35697,435,0.018390805,687,163,0.060325685,42506,427,167,16,16,1345,0.043243417,232110,2843,1417,248.0,13569,0.01320059,2.0,15641,3446,2387,0.057712766,582047,4826,2509,1075,0.008276297,219803,2688,1181,0.020735428,801850,7514,3674,574,0.057781357,133342,1446,605,2,7,24167
2026-04-24,440,41208,280,274,9,12,123,0.167574932,30109,345,132,0.049339021,1120,0.170057698,267268,2883,1161,15,16,10,10,57414,30,1970,42,81,13,28604,0.042342861,477429,35589,29042,69960,659,0.013657056,939,445,0.164146072,90800,1196,461,34,34,1997,0.063765247,268227,4323,2130,432.0,21246,0.013318113,8.0,24104,11854,5648,0.136303304,1200202,12319,5846,6287,0.04683682,1109425,12835,6644,0.069427606,2309627,25154,12374,1688,0.168884442,388177,4424,1754,8,18,42347
2026-04-23,481,47119,331,330,12,9,153,0.206756757,28641,341,161,0.056894568,1308,0.198603097,327133,3517,1351,17,22,4,5,74033,54,3208,36,76,11,30636,0.045778189,488854,38617,31105,82435,772,0.015544041,1202,509,0.187201177,111533,1376,517,56,56,2306,0.073714158,336261,5034,2450,464.0,22525,0.014732719,8.0,25915,15110,6662,0.160952864,1537545,15118,6862,8605,0.063761995,1608546,17753,8971,0.088147102,3146091,32871,15664,1970,0.196744232,467307,5234,2029,4,10,48466
2026-04-22,329,42146,231,226,17,20,185,0.249326146,43613,448,190,0.051541059,1434,0.219333129,366412,3954,1470,16,19,17,27,78417,60,2439,30,50,12,25103,0.0381743,397015,32723,25556,76597,776,0.021935484,1255,565,0.208179808,168188,1573,582,57,58,2181,0.070345762,323078,4798,2308,312.0,17595,0.012960781,16.0,20589,15688,6819,0.166646301,1757564,15026,7014,8962,0.066986576,1647088,17406,9359,0.092146302,3404652,32432,16278,2184,0.219079145,578213,5975,2242,5,13,43356
2026-04-21,428,44205,286,280,10,12,160,0.218281037,26599,358,162,0.054459574,1381,0.215276695,268315,3625,1420,22,34,7,8,60766,33,3873,49,87,12,26662,0.040854666,414087,33711,27123,78234,626,0.015974441,941,580,0.216579537,111824,1527,594,38,39,1965,0.063981506,221699,4338,2097,413.0,19172,0.015055009,9.0,22186,16429,6458,0.159855442,1170144,14343,6701,10131,0.076673327,1430389,19444,10458,0.09771431,2600533,33787,17001,2121,0.216848993,406738,5510,2176,7,16,45354
2026-04-20,375,37884,262,259,12,21,153,0.210164835,38632,418,156,0.047569419,1260,0.200190658,288239,3440,1291,27,29,4,4,63492,41,2129,43,74,11,22770,0.035386485,418866,29781,23226,70749,719,0.016973126,1152,482,0.182437547,112990,1317,496,44,45,2047,0.067694038,296050,4660,2192,366.0,15174,0.017784415,10.0,17683,13663,5852,0.146780707,1273003,13665,6052,8027,0.06408322,1378459,16937,8325,0.085040831,2651462,30602,14179,1895,0.197252004,439861,5175,1943,9,21,39008
2026-04-19,237,15979,158,158,6,6,30,0.041493776,6920,64,36,0.020368673,302,0.048521851,67391,877,335,12,15,0,0,13322,10,901,13,26,1,12860,0.020200434,194425,16081,13178,24487,205,0.02970297,312,122,0.046511628,18267,285,141,8,8,789,0.026350065,103953,1985,867,232.0,7648,0.019819368,1.0,8913,2396,1478,0.037268647,270091,2975,1617,929,0.007716716,134777,2161,1040,0.015413614,404868,5136,2646,454,0.047649034,92578,1226,512,0,0,16657
2026-04-18,263,21843,177,173,5,7,39,0.053351573,9883,89,40,0.027409207,360,0.057443753,68078,874,384,5,6,0,0,19084,13,1473,19,34,2,18103,0.027911272,272376,22647,18398,33304,356,0.014044944,527,151,0.056831012,23072,375,160,13,13,1287,0.042628598,171016,2642,1365,255.0,12248,0.014418377,4.0,14398,3035,2092,0.052317003,430636,4326,2213,956,0.007752504,167309,2293,1071,0.01914899,597945,6619,3271,550,0.057291667,101033,1338,584,0,2,22520
2026-04-17,281,38404,206,206,9,10,144,0.194070081,31606,357,150,0.047672899,1179,0.187202286,257169,2934,1215,23,25,3,3,61032,43,2975,30,54,7,23778,0.036532809,390458,30309,24224,66377,665,0.013533835,992,453,0.169981238,88661,1048,461,45,45,1945,0.064030814,243646,3964,2072,272.0,16096,0.012616365,7.0,18924,13740,6945,0.172448042,1442631,13973,7125,6990,0.05470725,1205253,13224,7263,0.083998679,2647884,27197,14202,1775,0.18389971,377436,4339,1825,5,12,39480
2026-04-16,256,36497,1,1,3,4,158,0.211796247,39930,375,163,0.044840355,1239,0.196075328,261043,3077,1278,26,30,3,3,57504,21,1833,47,76,6,22174,0.033678461,385613,28923,22648,65713,538,0.005565863,766,458,0.171857411,105863,1201,472,19,19,1793,0.058424843,230362,3855,1951,250.0,15382,7.02e-05,6.0,17581,13126,5766,0.14367587,1201390,12434,5930,7505,0.058686914,1224171,15301,7882,0.08020286,2425561,27735,13671,1855,0.191751085,406836,4653,1913,1,15,37727
